LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1127.539385,1127.539366,1661327445.826161,67656.000,9108,1,TH,1,100,34.362
1127.674635,1127.674615,1661327445.961411,67787.000,9128,1,TH,1,100,34.262
1127.807819,1127.807800,1661327446.094595,67916.000,9160,1,TH,1,100,34.262
1127.941004,1127.940985,1661327446.227780,68045.000,9176,1,TH,1,100,34.307
1128.073157,1128.073137,1661327446.359932,68173.000,9194,1,TH,1,100,34.307
1128.205309,1128.205290,1661327446.492085,68301.000,9212,1,TH,1,100,34.322
1128.338494,1128.338474,1661327446.625270,68430.000,9246,1,TH,1,100,34.322
1128.469614,1128.469594,1661327446.756389,68557.000,9265,1,TH,1,100,34.373
1128.603831,1128.603811,1661327446.890607,68687.000,9281,1,TH,1,100,34.373
1128.740113,1128.740094,1661327447.026889,68819.000,9299,1,TH,1,100,34.326
1128.872265,1128.872246,1661327447.159041,68947.000,9334,1,TH,1,100,34.326
1129.003385,1129.003366,1661327447.290161,69074.000,9350,1,TH,1,100,34.395
1129.136570,1129.136551,1661327447.423346,69203.000,9373,1,TH,1,100,34.395
1129.270787,1129.270768,1661327447.557563,69333.000,9389,1,TH,1,100,34.310
1129.406037,1129.406017,1661327447.692813,69464.000,9421,1,TH,1,100,34.317
1129.539221,1129.539202,1661327447.825998,69593.000,9438,1,TH,1,100,34.286
1129.669309,1129.669290,1661327447.956085,69719.000,9454,1,TH,1,100,34.286
1129.802494,1129.802474,1661327448.089270,69848.000,9486,1,TH,1,100,34.282
1129.938776,1129.938757,1661327448.225552,69980.000,9505,1,TH,1,100,34.282
1130.072993,1130.072974,1661327448.359769,70110.000,9522,1,TH,1,100,34.336
1130.205145,1130.205126,1661327448.491922,70238.000,9543,1,TH,1,100,34.336
1130.337298,1130.337278,1661327448.624074,70366.000,9575,1,TH,1,100,34.267
1130.470482,1130.470463,1661327448.757259,70495.000,9593,1,TH,1,100,34.267
1130.607797,1130.607778,1661327448.894573,70628.000,9612,1,TH,1,100,34.322
1130.739949,1130.739930,1661327449.026726,70756.000,9647,1,TH,1,100,34.322
1130.872102,1130.872082,1661327449.158878,70884.000,9663,1,TH,1,100,34.296
1131.007351,1131.007332,1661327449.294128,71015.000,9680,1,TH,1,100,34.296
1131.140536,1131.140517,1661327449.427313,71144.000,9699,1,TH,1,100,34.402
1131.273721,1131.273702,1661327449.560497,71273.000,9730,1,TH,1,100,34.409
1131.406906,1131.406886,1661327449.693682,71402.000,9748,1,TH,1,100,34.331
1131.540090,1131.540071,1661327449.826867,71531.000,9766,1,TH,1,100,34.331
1131.676372,1131.676353,1661327449.963149,71663.000,9783,1,TH,1,100,34.331
1131.809557,1131.809538,1661327450.096334,71792.000,9804,1,TH,1,100,34.331
1131.941710,1131.941690,1661327450.228486,71920.000,9822,1,TH,1,100,34.355
1132.074894,1132.074875,1661327450.361671,72049.000,9856,1,TH,1,100,34.355
1132.208079,1132.208060,1661327450.494856,72178.000,9876,1,TH,1,100,34.352
1132.342296,1132.342277,1661327450.629073,72308.000,9892,1,TH,1,100,34.352
1132.475481,1132.475462,1661327450.762258,72437.000,9914,1,TH,1,100,34.326
1132.608666,1132.608647,1661327450.895443,72566.000,9947,1,TH,1,100,34.327
1132.739786,1132.739767,1661327451.026562,72693.000,9964,1,TH,1,100,34.289
1132.875035,1132.875016,1661327451.161812,72824.000,9981,1,TH,1,100,34.289
1133.009253,1133.009233,1661327451.296030,72954.000,9997,1,TH,1,100,34.376
1133.141405,1133.141386,1661327451.428182,73082.000,10031,1,TH,1,100,34.383
1133.274590,1133.274571,1661327451.561367,73211.000,10050,1,TH,1,100,34.341
1133.406742,1133.406723,1661327451.693519,73339.000,10067,1,TH,1,100,34.341
1133.538894,1133.538875,1661327451.825671,73467.000,10086,1,TH,1,100,34.379
1133.671047,1133.671028,1661327451.957824,73595.000,10120,1,TH,1,100,34.379
1133.804232,1133.804212,1661327452.091008,73724.000,10139,1,TH,1,100,34.362
1133.940514,1133.940494,1661327452.227291,73856.000,10156,1,TH,1,100,34.362
1134.073698,1134.073679,1661327452.360476,73985.000,10173,1,TH,1,100,34.426
1134.204818,1134.204799,1661327452.491595,74112.000,10208,1,TH,1,100,34.426
1134.336971,1134.336951,1661327452.623748,74240.000,10225,1,TH,1,100,34.341
1134.471188,1134.471169,1661327452.757965,74370.000,10244,1,TH,1,100,34.341
1134.606438,1134.606418,1661327452.893215,74501.000,10275,1,TH,1,100,34.341
1134.739622,1134.739603,1661327453.026399,74630.000,10293,1,TH,1,100,34.341
1134.871775,1134.871755,1661327453.158552,74758.000,10309,1,TH,1,100,34.376
1135.003927,1135.003908,1661327453.290704,74886.000,10326,1,TH,1,100,34.376
1135.140209,1135.140190,1661327453.426986,75018.000,10360,1,TH,1,100,34.362
1135.274426,1135.274407,1661327453.561203,75148.000,10379,1,TH,1,100,34.362
1135.406579,1135.406559,1661327453.693356,75276.000,10397,1,TH,1,100,34.310
1135.537698,1135.537679,1661327453.824476,75403.000,10432,1,TH,1,100,34.317
1135.670883,1135.670864,1661327453.957661,75532.000,10449,1,TH,1,100,34.343
1135.807165,1135.807146,1661327454.093943,75664.000,10466,1,TH,1,100,34.343
1135.940350,1135.940331,1661327454.227128,75793.000,10484,1,TH,1,100,34.362
1136.072502,1136.072483,1661327454.359280,75921.000,10518,1,TH,1,100,34.362
1136.205687,1136.205668,1661327454.492465,76050.000,10535,1,TH,1,100,34.433
1136.339904,1136.339885,1661327454.626682,76180.000,10551,1,TH,1,100,34.433
1136.472057,1136.472038,1661327454.758834,76308.000,10569,1,TH,1,100,34.393
1136.605242,1136.605222,1661327454.892019,76437.000,10600,1,TH,1,100,34.393
1136.737394,1136.737375,1661327455.024171,76565.000,10621,1,TH,1,100,34.346
1136.872644,1136.872624,1661327455.159421,76696.000,10641,1,TH,1,100,34.346
1137.005828,1137.005809,1661327455.292606,76825.000,10682,1,TH,1,100,34.402
1137.139013,1137.138994,1661327455.425791,76954.000,10700,1,TH,1,100,34.402
1137.272198,1137.272179,1661327455.558975,77083.000,10717,1,TH,1,100,34.353
1137.405383,1137.405364,1661327455.692160,77212.000,10734,1,TH,1,100,34.360
1137.540632,1137.540613,1661327455.827410,77343.000,10767,1,TH,1,100,34.376
1137.672785,1137.672766,1661327455.959562,77471.000,10784,1,TH,1,100,34.376
1137.805969,1137.805950,1661327456.092747,77600.000,10801,1,TH,1,100,34.421
1137.938122,1137.938103,1661327456.224900,77728.000,10834,1,TH,1,100,34.421
1138.073371,1138.073352,1661327456.360149,77859.000,10854,1,TH,1,100,34.362
1138.207589,1138.207570,1661327456.494366,77989.000,10870,1,TH,1,100,34.362
1138.340773,1138.340754,1661327456.627551,78118.000,10892,1,TH,1,100,34.343
1138.472926,1138.472907,1661327456.759704,78246.000,10926,1,TH,1,100,34.343
1138.606110,1138.606091,1661327456.892888,78375.000,10942,1,TH,1,100,34.395
