LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1109.419029,1109.419009,1661327427.705801,50105.000,6116,1,T1,1,100,34.901
1109.552214,1109.552194,1661327427.838986,50234.000,6133,1,T1,1,100,34.886
1109.686431,1109.686411,1661327427.973203,50364.000,6165,1,T1,1,100,34.986
1109.819616,1109.819596,1661327428.106388,50493.000,6181,1,T1,1,100,34.994
1109.952800,1109.952780,1661327428.239573,50622.000,6200,1,T1,1,100,34.891
1110.085985,1110.085965,1661327428.372757,50751.000,6236,1,T1,1,100,34.988
1110.221235,1110.221215,1661327428.508007,50882.000,6252,1,T1,1,100,35.030
1110.353387,1110.353367,1661327428.640160,51010.000,6269,1,T1,1,100,34.978
1110.486572,1110.486552,1661327428.773344,51139.000,6286,1,T1,1,100,34.990
1110.619757,1110.619737,1661327428.906529,51268.000,6308,1,T1,1,100,34.960
1110.751909,1110.751889,1661327429.038682,51396.000,6345,1,T1,1,100,34.947
1110.887159,1110.887139,1661327429.173931,51527.000,6363,1,T1,1,100,35.013
1111.021376,1111.021356,1661327429.308148,51657.000,6380,1,T1,1,100,35.005
1111.153528,1111.153508,1661327429.440301,51785.000,6399,1,T1,1,100,35.002
1111.286713,1111.286693,1661327429.573486,51914.000,6430,1,T1,1,100,35.072
1111.418865,1111.418845,1661327429.705638,52042.000,6448,1,T1,1,100,35.031
1111.552050,1111.552030,1661327429.838823,52171.000,6466,1,T1,1,100,34.907
1111.685235,1111.685215,1661327429.972008,52300.000,6483,1,T1,1,100,34.960
1111.816355,1111.816335,1661327430.103127,52427.000,6517,1,T1,1,100,35.018
1111.948507,1111.948487,1661327430.235280,52555.000,6533,1,T1,1,100,34.972
1112.082724,1112.082704,1661327430.369497,52685.000,6551,1,T1,1,100,34.988
1112.214877,1112.214857,1661327430.501649,52813.000,6587,1,T1,1,100,35.137
1112.348061,1112.348042,1661327430.634834,52942.000,6603,1,T1,1,100,35.024
1112.481246,1112.481226,1661327430.768019,53071.000,6621,1,T1,1,100,35.046
1112.612366,1112.612346,1661327430.899139,53198.000,6637,1,T1,1,100,35.091
1112.745551,1112.745531,1661327431.032324,53327.000,6671,1,T1,1,100,35.039
1112.877703,1112.877683,1661327431.164476,53455.000,6688,1,T1,1,100,34.946
1113.009855,1113.009836,1661327431.296628,53583.000,6704,1,T1,1,100,34.977
1113.143040,1113.143020,1661327431.429813,53712.000,6724,1,T1,1,100,34.919
1113.276225,1113.276205,1661327431.562998,53841.000,6757,1,T1,1,100,35.000
1113.408377,1113.408358,1661327431.695150,53969.000,6774,1,T1,1,100,35.107
1113.541562,1113.541542,1661327431.828335,54098.000,6791,1,T1,1,100,35.082
1113.674747,1113.674727,1661327431.961520,54227.000,6828,1,T1,1,100,34.929
1113.807932,1113.807912,1661327432.094705,54356.000,6846,1,T1,1,100,34.969
1113.941116,1113.941097,1661327432.227890,54485.000,6863,1,T1,1,100,35.093
1114.072236,1114.072217,1661327432.359010,54612.000,6880,1,T1,1,100,35.076
1114.205421,1114.205401,1661327432.492194,54741.000,6899,1,T1,1,100,34.962
1114.339638,1114.339619,1661327432.626411,54871.000,6933,1,T1,1,100,35.019
1114.471791,1114.471771,1661327432.758564,54999.000,6949,1,T1,1,100,35.008
1114.604975,1114.604956,1661327432.891749,55128.000,6970,1,T1,1,100,35.039
1114.739193,1114.739173,1661327433.025966,55258.000,7002,1,T1,1,100,35.159
