LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1100.615412,1100.615392,1661327418.902183,41578.000,4673,2,MZ,1,100,-38
1100.655677,1100.655657,1661327418.942448,41617.000,4673,2,MZ,1,100,-36
1100.695598,1100.695578,1661327418.982369,41655.667,4688,3,MZ,1,100,-38
1100.735519,1100.735499,1661327419.022290,41694.333,4688,3,MZ,1,100,-38
1100.775440,1100.775420,1661327419.062211,41733.000,4688,3,MZ,1,100,-39
1100.815189,1100.815169,1661327419.101960,41771.500,4705,2,MZ,1,100,-40
1100.854938,1100.854918,1661327419.141709,41810.000,4705,2,MZ,1,100,-39
1100.894171,1100.894151,1661327419.180942,41848.000,4724,3,MZ,1,100,-40
1100.933404,1100.933384,1661327419.220174,41886.000,4724,3,MZ,1,100,-38
1100.972636,1100.972616,1661327419.259407,41924.000,4724,3,MZ,1,100,-40
1101.012557,1101.012537,1661327419.299328,41962.667,4740,3,MZ,1,100,-39
1101.052478,1101.052458,1661327419.339249,42001.333,4740,3,MZ,1,100,-40
1101.092399,1101.092379,1661327419.379170,42040.000,4740,3,MZ,1,100,-40
1101.132664,1101.132644,1661327419.419435,42079.000,4762,2,MZ,1,100,-40
1101.172930,1101.172910,1661327419.459700,42118.000,4762,2,MZ,1,100,-40
1101.212851,1101.212831,1661327419.499621,42156.667,4776,3,MZ,1,100,-40
1101.252772,1101.252752,1661327419.539542,42195.333,4776,3,MZ,1,100,-40
1101.292693,1101.292673,1661327419.579463,42234.000,4776,3,MZ,1,100,-40
1101.332442,1101.332422,1661327419.619212,42272.500,4793,2,MZ,1,100,-41
1101.372191,1101.372171,1661327419.658961,42311.000,4793,2,MZ,1,100,-40
1101.412112,1101.412092,1661327419.698882,42349.667,4810,3,MZ,1,100,-40
1101.452033,1101.452013,1661327419.738803,42388.333,4810,3,MZ,1,100,-40
1101.491954,1101.491934,1661327419.778724,42427.000,4810,3,MZ,1,100,-40
1101.531186,1101.531166,1661327419.817957,42465.000,4830,3,MZ,1,100,-40
1101.570419,1101.570399,1661327419.857190,42503.000,4830,3,MZ,1,100,-39
1101.609652,1101.609632,1661327419.896423,42541.000,4830,3,MZ,1,100,-39
1101.649917,1101.649897,1661327419.936688,42580.000,4845,2,MZ,1,100,-40
1101.690182,1101.690162,1661327419.976953,42619.000,4845,2,MZ,1,100,-40
1101.729759,1101.729739,1661327420.016530,42657.333,4862,3,MZ,1,100,-40
1101.769336,1101.769316,1661327420.056107,42695.667,4862,3,MZ,1,100,-41
1101.808913,1101.808893,1661327420.095684,42734.000,4862,3,MZ,1,100,-39
1101.848834,1101.848814,1661327420.135605,42772.667,4880,3,MZ,1,100,-41
