LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1126.067125,1126.067106,1661327444.353901,66230.000,8859,1,EA,1,100,0.224425
1126.133202,1126.133182,1661327444.419977,66294.000,8882,2,EA,1,100,0.224461
1126.199278,1126.199258,1661327444.486053,66358.000,8882,2,EA,1,100,0.224439
1126.265354,1126.265335,1661327444.552130,66422.000,8898,2,EA,1,100,0.224194
1126.331430,1126.331411,1661327444.618206,66486.000,8898,2,EA,1,100,0.224209
1126.399571,1126.399552,1661327444.686347,66552.000,8921,1,EA,1,100,0.224346
1126.466680,1126.466660,1661327444.753455,66617.000,8935,2,EA,1,100,0.224743
1126.533788,1126.533769,1661327444.820564,66682.000,8935,2,EA,1,100,0.224982
1126.600897,1126.600878,1661327444.887672,66747.000,8952,1,EA,1,100,0.225142
1126.666973,1126.666954,1661327444.953749,66811.000,8969,2,EA,1,100,0.225178
1126.733049,1126.733030,1661327445.019825,66875.000,8969,2,EA,1,100,0.225200
1126.800158,1126.800139,1661327445.086934,66940.000,8986,1,EA,1,100,0.225426
1126.865718,1126.865698,1661327445.152493,67003.500,9001,2,EA,1,100,0.225513
1126.931278,1126.931258,1661327445.218053,67067.000,9001,2,EA,1,100,0.225608
1126.999419,1126.999399,1661327445.286195,67133.000,9020,2,EA,1,100,0.225659
1127.067560,1127.067541,1661327445.354336,67199.000,9020,2,EA,1,100,0.225433
1127.134668,1127.134649,1661327445.421444,67264.000,9038,1,EA,1,100,0.225484
1127.201261,1127.201242,1661327445.488037,67328.500,9057,2,EA,1,100,0.225849
1127.267853,1127.267834,1661327445.554629,67393.000,9057,2,EA,1,100,0.225718
1127.332897,1127.332878,1661327445.619673,67456.000,9073,1,EA,1,100,0.225623
1127.400006,1127.399986,1661327445.686781,67521.000,9089,2,EA,1,100,0.225557
1127.467114,1127.467095,1661327445.753890,67586.000,9089,2,EA,1,100,0.225375
