LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1189.931805,1189.931788,1661327508.218593,128088.000,19306,2,AK,1,100,RD
1189.944195,1189.944177,1661327508.230982,128100.000,19309,2,AK,1,100,19307
1189.956584,1189.956566,1661327508.243371,128112.000,19309,2,AK,1,100,RD
1192.600147,1192.600129,1661327510.886935,130672.500,20204,2,AK,1,100,19307
1195.243710,1195.243692,1661327513.530499,133233.000,20204,2,AK,1,100,RD
1195.256099,1195.256081,1661327513.542888,133245.000,20207,2,AK,1,100,20205
1195.268488,1195.268471,1661327513.555277,133257.000,20207,2,AK,1,100,RD
1197.905340,1197.905323,1661327516.192129,135811.000,21072,2,AK,1,100,20205
1200.542192,1200.542175,1661327518.828982,138365.000,21072,2,AK,1,100,RD
1200.560260,1200.560242,1661327518.847050,138382.500,21075,2,AK,1,100,21073
1200.578328,1200.578310,1661327518.865117,138400.000,21075,2,AK,1,100,RD
1203.200725,1203.200708,1661327521.487516,140940.000,21934,2,AK,1,100,21073
1205.823123,1205.823106,1661327524.109914,143480.000,21934,2,AK,1,100,RD
1205.864421,1205.864404,1661327524.151212,143520.000,21937,2,AK,1,100,21935
1205.905719,1205.905701,1661327524.192509,143560.000,21937,2,AK,1,100,RD
