LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1144.724351,1144.724332,1661327463.011130,84301,11912,1,SA,1,100,0.000089
1145.660774,1145.660755,1661327463.947553,85208,12082,1,SA,1,100,0.000698
1146.123307,1146.123288,1661327464.410086,85656,12137,1,SA,1,100,0.000382
1146.524926,1146.524907,1661327464.811705,86045,12238,1,SA,1,100,0.000750
1147.261056,1147.261037,1661327465.547835,86758,12324,1,SA,1,100,0.000131
1147.527425,1147.527407,1661327465.814205,87016,12403,1,SA,1,100,0.000344
1148.327566,1148.327548,1661327466.614346,87791,12521,1,SA,1,100,0.000305
1148.656915,1148.656896,1661327466.943695,88110,12557,1,SA,1,100,0.000454
1148.923284,1148.923266,1661327467.210064,88368,12594,1,SA,1,100,0.000083
1149.119448,1149.119429,1661327467.406228,88558,12680,1,SA,1,100,0.000671
1149.785372,1149.785353,1661327468.072152,89203,12766,1,SA,1,100,0.000655
1150.186991,1150.186972,1661327468.473771,89592,12817,1,SA,1,100,0.000291
1150.451296,1150.451277,1661327468.738076,89848,12854,1,SA,1,100,0.000100
1150.649524,1150.649506,1661327468.936305,90040,12890,1,SA,1,100,0.000184
1151.184328,1151.184309,1661327469.471108,90558,12995,1,SA,1,100,0.000478
1151.655121,1151.655102,1661327469.941901,91014,13078,1,SA,1,100,0.000649
1152.449067,1152.449049,1661327470.735848,91783,13219,1,SA,1,100,0.000896
1152.852751,1152.852733,1661327471.139532,92174,13276,1,SA,1,100,0.000306
1153.585784,1153.585765,1661327471.872565,92884,13380,1,SA,1,100,0.000350
1153.850089,1153.850070,1661327472.136869,93140,13432,1,SA,1,100,0.000342
1154.117491,1154.117472,1661327472.404271,93399,13468,1,SA,1,100,0.000094
1154.580024,1154.580005,1661327472.866805,93847,13554,1,SA,1,100,0.000343
1155.176774,1155.176755,1661327473.463555,94425,13675,1,SA,1,100,0.000516
1155.774557,1155.774538,1661327474.061338,95004,13760,1,SA,1,100,0.000518
1156.239155,1156.239136,1661327474.525936,95454,13831,1,SA,1,100,0.000676
1156.643871,1156.643853,1661327474.930653,95846,13888,1,SA,1,100,0.000174
1157.107437,1157.107419,1661327475.394218,96295,14022,1,SA,1,100,0.001140
1157.775426,1157.775407,1661327476.062207,96942,14092,1,SA,1,100,0.000576
1158.178077,1158.178059,1661327476.464859,97332,14169,1,SA,1,100,0.000762
1158.710817,1158.710798,1661327476.997598,97848,14251,1,SA,1,100,0.000872
1159.241491,1159.241472,1661327477.528273,98362,14305,1,SA,1,100,0.000071
1159.438687,1159.438668,1661327477.725469,98553,14357,1,SA,1,100,0.000657
1159.835144,1159.835125,1661327478.121926,98937,14413,1,SA,1,100,0.000143
1160.301807,1160.301788,1661327478.588589,99389,14499,1,SA,1,100,0.000196
1161.767872,1161.767853,1661327480.054654,100809,14754,1,SA,1,100,0.000062
1162.635121,1162.635103,1661327480.921904,101649,14892,1,SA,1,100,0.000350
1162.966535,1162.966516,1661327481.253317,101970,14983,1,SA,1,100,0.000728
1164.297350,1164.297332,1661327482.584133,103259,15156,1,SA,1,100,0.000361
1164.761948,1164.761930,1661327483.048731,103709,15223,1,SA,1,100,0.000063
1164.961209,1164.961191,1661327483.247992,103902,15263,1,SA,1,100,0.000217
1165.358698,1165.358680,1661327483.645481,104287,15314,1,SA,1,100,0.000336
1165.556927,1165.556909,1661327483.843710,104479,15348,1,SA,1,100,0.000535
1165.754123,1165.754105,1661327484.040906,104670,15383,1,SA,1,100,0.000036
1166.021525,1166.021507,1661327484.308308,104929,15439,1,SA,1,100,0.000309
1166.284797,1166.284779,1661327484.571580,105184,15491,1,SA,1,100,0.000455
1166.883612,1166.883594,1661327485.170396,105764,15593,1,SA,1,100,0.000366
1167.219155,1167.219137,1661327485.505939,106089,15663,1,SA,1,100,0.000679
1167.618710,1167.618691,1661327485.905493,106476,15698,1,SA,1,100,0.000221
1167.950123,1167.950105,1661327486.236907,106797,15768,1,SA,1,100,0.000570
1168.418851,1168.418833,1661327486.705635,107251,15835,1,SA,1,100,0.000341
1169.017666,1169.017648,1661327487.304450,107831,15944,1,SA,1,100,0.000573
1169.414123,1169.414105,1661327487.700907,108215,15980,1,SA,1,100,0.000111
1169.615449,1169.615431,1661327487.902233,108410,16014,1,SA,1,100,0.000047
1170.144058,1170.144040,1661327488.430842,108922,16099,1,SA,1,100,0.000233
1170.475472,1170.475453,1661327488.762256,109243,16169,1,SA,1,100,0.000084
1170.740809,1170.740790,1661327489.027593,109500,16205,1,SA,1,100,0.000075
1170.940070,1170.940051,1661327489.226854,109693,16258,1,SA,1,100,0.000703
1171.338591,1171.338573,1661327489.625376,110079,16294,1,SA,1,100,0.000367
1171.668972,1171.668954,1661327489.955757,110399,16379,1,SA,1,100,0.000358
1172.135635,1172.135617,1661327490.422420,110851,16469,1,SA,1,100,0.000673
1172.665277,1172.665259,1661327490.952061,111364,16536,1,SA,1,100,0.000219
1172.936809,1172.936791,1661327491.223593,111627,16573,1,SA,1,100,0.000248
1173.402439,1173.402421,1661327491.689224,112078,16660,1,SA,1,100,0.000575
1173.669841,1173.669823,1661327491.956626,112337,16713,1,SA,1,100,0.000635
1174.669243,1174.669225,1661327492.956028,113305,16871,1,SA,1,100,0.000493
1175.132809,1175.132791,1661327493.419594,113754,16977,1,SA,1,100,0.000805
1175.595342,1175.595324,1661327493.882127,114202,17011,1,SA,1,100,0.000068
1175.795635,1175.795617,1661327494.082420,114396,17046,1,SA,1,100,0.000127
1176.327342,1176.327324,1661327494.614127,114911,17133,1,SA,1,100,0.000459
1176.856984,1176.856966,1661327495.143769,115424,17205,1,SA,1,100,0.000186
1177.387658,1177.387640,1661327495.674443,115938,17326,1,SA,1,100,0.000431
1177.986473,1177.986455,1661327496.273259,116518,17418,1,SA,1,100,0.000641
1178.654462,1178.654444,1661327496.941248,117165,17553,1,SA,1,100,0.000436
1179.253277,1179.253259,1661327497.540063,117745,17612,1,SA,1,100,0.000695
1179.652832,1179.652814,1661327497.939617,118132,17721,1,SA,1,100,0.001179
1180.255777,1180.255759,1661327498.542562,118716,17740,1,SA,1,100,0.000271
1180.585125,1180.585107,1661327498.871911,119035,17810,1,SA,1,100,0.000657
1181.250016,1181.249999,1661327499.536803,119679,17933,1,SA,1,100,0.000965
1181.846767,1181.846749,1661327500.133553,120257,18003,1,SA,1,100,0.000307
1182.241159,1182.241141,1661327500.527945,120639,18070,1,SA,1,100,0.000503
1182.909148,1182.909130,1661327501.195934,121286,18176,1,SA,1,100,0.000093
1183.176550,1183.176532,1661327501.463336,121545,18228,1,SA,1,100,0.000238
1183.578169,1183.578151,1661327501.864955,121934,18279,1,SA,1,100,0.000375
