LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1100.578502,1100.578482,1661327418.865273,41542.250,4674,4,EM,1,100,RS
1100.631415,1100.631395,1661327418.918185,41593.500,4674,4,EM,1,100,RB
1100.684327,1100.684307,1661327418.971098,41644.750,4674,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1100.737240,1100.737220,1661327419.024011,41696.000,4674,4,EM,1,100,PS
1100.789120,1100.789100,1661327419.075891,41746.250,4706,4,EM,1,100,RS
1100.841000,1100.840980,1661327419.127771,41796.500,4706,4,EM,1,100,RB
1100.892880,1100.892860,1661327419.179651,41846.750,4706,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1100.944760,1100.944740,1661327419.231531,41897.000,4706,4,EM,1,100,PS
1100.996641,1100.996620,1661327419.283411,41947.250,4743,4,EM,1,100,RS
1101.048521,1101.048501,1661327419.335291,41997.500,4743,4,EM,1,100,RB
1101.100401,1101.100381,1661327419.387172,42047.750,4743,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1101.152281,1101.152261,1661327419.439052,42098.000,4743,4,EM,1,100,PS
1101.205710,1101.205690,1661327419.492480,42149.750,4777,4,EM,1,100,RS
1101.259138,1101.259118,1661327419.545909,42201.500,4777,4,EM,1,100,RB
1101.312567,1101.312547,1661327419.599338,42253.250,4777,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1101.365996,1101.365976,1661327419.652767,42305.000,4777,4,EM,1,100,PS
1101.422006,1101.421986,1661327419.708776,42359.250,4814,4,EM,1,100,RS
1101.478016,1101.477996,1661327419.764786,42413.500,4814,4,EM,1,100,RB
1101.534026,1101.534006,1661327419.820796,42467.750,4814,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1101.590035,1101.590015,1661327419.876806,42522.000,4814,4,EM,1,100,PS
1101.641916,1101.641896,1661327419.928686,42572.250,4846,4,EM,1,100,RS
1101.693796,1101.693776,1661327419.980567,42622.500,4846,4,EM,1,100,RB
1101.745676,1101.745656,1661327420.032447,42672.750,4846,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1101.797556,1101.797536,1661327420.084327,42723.000,4846,4,EM,1,100,PS
1101.849436,1101.849416,1661327420.136207,42773.250,4881,4,EM,1,100,RS
1101.901316,1101.901296,1661327420.188087,42823.500,4881,4,EM,1,100,RB
1101.953196,1101.953176,1661327420.239967,42873.750,4881,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1102.005076,1102.005056,1661327420.291847,42924.000,4881,4,EM,1,100,PS
1102.056956,1102.056936,1661327420.343727,42974.250,4917,4,EM,1,100,RS
1102.108837,1102.108817,1661327420.395607,43024.500,4917,4,EM,1,100,RB
1102.160717,1102.160697,1661327420.447488,43074.750,4917,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1102.212597,1102.212577,1661327420.499368,43125.000,4917,4,EM,1,100,PS
1102.264477,1102.264457,1661327420.551248,43175.250,4948,4,EM,1,100,RS
1102.316357,1102.316337,1661327420.603128,43225.500,4948,4,EM,1,100,RB
1102.368237,1102.368217,1661327420.655008,43275.750,4948,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1102.420117,1102.420097,1661327420.706888,43326.000,4948,4,EM,1,100,PS
1102.471997,1102.471977,1661327420.758768,43376.250,4984,4,EM,1,100,RS
1102.523878,1102.523858,1661327420.810648,43426.500,4984,4,EM,1,100,RB
1102.575758,1102.575738,1661327420.862529,43476.750,4984,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1102.627638,1102.627618,1661327420.914409,43527.000,4984,4,EM,1,100,PS
1102.679518,1102.679498,1661327420.966289,43577.250,5015,4,EM,1,100,RS
1102.731398,1102.731378,1661327421.018169,43627.500,5015,4,EM,1,100,RB
1102.783278,1102.783258,1661327421.070049,43677.750,5015,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1102.835158,1102.835138,1661327421.121929,43728.000,5015,4,EM,1,100,PS
1102.887038,1102.887018,1661327421.173809,43778.250,5052,4,EM,1,100,RS
1102.938918,1102.938898,1661327421.225689,43828.500,5052,4,EM,1,100,RB
1102.990799,1102.990779,1661327421.277570,43878.750,5052,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1103.042679,1103.042659,1661327421.329450,43929.000,5052,4,EM,1,100,PS
1103.095591,1103.095571,1661327421.382362,43980.250,5090,4,EM,1,100,RS
1103.148504,1103.148484,1661327421.435275,44031.500,5090,4,EM,1,100,RB
1103.201416,1103.201396,1661327421.488187,44082.750,5090,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1103.254329,1103.254309,1661327421.541100,44134.000,5090,4,EM,1,100,PS
1103.306209,1103.306189,1661327421.592980,44184.250,5121,4,EM,1,100,RS
1103.358089,1103.358069,1661327421.644860,44234.500,5121,4,EM,1,100,RB
