LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1166.985824,1166.985806,1661327485.272607,105863.000,15573,1,BV,1,100,3.93
1167.983161,1167.983143,1661327486.269945,106829.000,15749,1,BV,1,100,3.93
1168.985660,1168.985642,1661327487.272444,107800.000,15910,1,BV,1,100,3.93
1169.978868,1169.978850,1661327488.265652,108762.000,16066,1,BV,1,100,3.93
1170.972075,1170.972057,1661327489.258859,109724.000,16223,1,BV,1,100,3.93
1171.967348,1171.967329,1661327490.254132,110688.000,16398,1,BV,1,100,3.93
1172.968814,1172.968796,1661327491.255599,111658.000,16570,1,BV,1,100,3.93
1173.968216,1173.968198,1661327492.255001,112626.000,16730,1,BV,1,100,3.93
1174.966586,1174.966568,1661327493.253371,113593.000,16905,1,BV,1,100,3.93
1175.961858,1175.961840,1661327494.248643,114557.000,17065,1,BV,1,100,3.94
1176.957131,1176.957112,1661327495.243916,115521.000,17224,1,BV,1,100,3.93
1177.952403,1177.952385,1661327496.239188,116485.000,17376,1,BV,1,100,3.93
1178.952837,1178.952819,1661327497.239623,117454.000,17550,1,BV,1,100,3.93
1179.955337,1179.955319,1661327498.242122,118425.000,17716,1,BV,1,100,3.93
1180.950609,1180.950591,1661327499.237395,119389.000,17828,1,BV,1,100,3.92
1181.945881,1181.945863,1661327500.232667,120353.000,18000,1,BV,1,100,3.93
1182.941153,1182.941135,1661327501.227940,121317.000,18156,1,BV,1,100,3.93
1183.945718,1183.945700,1661327502.232504,122290.000,18333,1,BV,1,100,3.93
1184.942022,1184.942004,1661327503.228809,123255.000,18491,1,BV,1,100,3.93
1185.939359,1185.939342,1661327504.226146,124221.000,18667,1,BV,1,100,3.94
1186.933599,1186.933581,1661327505.220387,125184.000,18816,1,BV,1,100,3.93
1187.930936,1187.930919,1661327506.217724,126150.000,18994,1,BV,1,100,3.93
1188.927241,1188.927223,1661327507.214029,127115.000,19147,1,BV,1,100,3.93
1189.929740,1189.929723,1661327508.216528,128086.000,19327,1,BV,1,100,3.93
1190.929142,1190.929125,1661327509.215930,129054.000,19500,1,BV,1,100,3.94
1191.925447,1191.925429,1661327510.212235,130019.000,19654,1,BV,1,100,3.94
1192.918655,1192.918637,1661327511.205443,130981.000,19831,1,BV,1,100,3.93
1193.922186,1193.922169,1661327512.208975,131953.000,19990,1,BV,1,100,3.93
1194.923653,1194.923636,1661327513.210442,132923.000,20163,1,BV,1,100,3.93
1195.923055,1195.923038,1661327514.209844,133891.000,20343,1,BV,1,100,3.93
1196.921425,1196.921407,1661327515.208214,134858.000,20502,1,BV,1,100,3.93
1197.918762,1197.918744,1661327516.205551,135824.000,20672,1,BV,1,100,3.93
1198.917132,1198.917114,1661327517.203921,136791.000,20826,1,BV,1,100,3.93
1199.914469,1199.914451,1661327518.201258,137757.000,20984,1,BV,1,100,3.93
1200.915936,1200.915918,1661327519.202725,138727.000,21163,1,BV,1,100,3.93
1201.917402,1201.917385,1661327520.204192,139697.000,21325,1,BV,1,100,3.93
1202.915772,1202.915755,1661327521.202562,140664.000,21493,1,BV,1,100,3.93
1203.915174,1203.915157,1661327522.201964,141632.000,21645,1,BV,1,100,3.93
1204.917673,1204.917656,1661327523.204464,142603.000,21798,1,BV,1,100,3.93
1205.919140,1205.919123,1661327524.205931,143573.000,21960,1,BV,1,100,3.93
