LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1141.397828,1141.397810,1661327459.684607,81079.000,11390,1,SF,1,100,99.7199
1141.731307,1141.731288,1661327460.018085,81402.000,11444,1,SF,1,100,100.6486
1142.066850,1142.066831,1661327460.353628,81727.000,11496,1,SF,1,100,101.5665
1142.399295,1142.399276,1661327460.686074,82049.000,11554,1,SF,1,100,102.4738
1142.733806,1142.733787,1661327461.020585,82373.000,11603,1,SF,1,100,101.2884
1143.065219,1143.065200,1661327461.351998,82694.000,11655,1,SF,1,100,100.1167
1143.398697,1143.398678,1661327461.685476,83017.000,11707,1,SF,1,100,98.9585
1143.798252,1143.798233,1661327462.085031,83404.000,11772,1,SF,1,100,97.8138
1144.194709,1144.194690,1661327462.481488,83788.000,11823,1,SF,1,100,96.6823
1144.392937,1144.392918,1661327462.679716,83980.000,11840,1,SF,1,100,95.5639
1144.724351,1144.724332,1661327463.011130,84301.000,11879,1,SF,1,100,96.5406
1145.059894,1145.059875,1661327463.346673,84626.000,11930,1,SF,1,100,97.5061
1145.457383,1145.457364,1661327463.744162,85011.000,11997,1,SF,1,100,96.3781
1145.793958,1145.793940,1661327464.080738,85337.000,12047,1,SF,1,100,95.2632
1146.123307,1146.123288,1661327464.410086,85656.000,12103,1,SF,1,100,96.2434
1146.392774,1146.392755,1661327464.679553,85917.000,12155,1,SF,1,100,97.2123
1146.725219,1146.725201,1661327465.011999,86239.000,12204,1,SF,1,100,96.0878
1147.060762,1147.060744,1661327465.347542,86564.000,12254,1,SF,1,100,97.0585
1147.460317,1147.460298,1661327465.747096,86951.000,12323,1,SF,1,100,95.9357
1147.725654,1147.725635,1661327466.012434,87208.000,12369,1,SF,1,100,96.9082
1148.127273,1148.127254,1661327466.414053,87597.000,12438,1,SF,1,100,97.8694
1148.458686,1148.458668,1661327466.745466,87918.000,12489,1,SF,1,100,96.7372
1148.724023,1148.724005,1661327467.010803,88175.000,12539,1,SF,1,100,97.7004
1149.055437,1149.055418,1661327467.342217,88496.000,12596,1,SF,1,100,100.7347
