LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1099.336219,1099.336199,1661327417.622989,40339.000,4446,2,PG,1,100,9040
1099.376484,1099.376464,1661327417.663254,40378.000,4466,3,PG,1,100,9044
1099.416749,1099.416729,1661327417.703519,40417.000,4466,3,PG,1,100,9052
1099.457014,1099.456994,1661327417.743785,40456.000,4466,3,PG,1,100,9060
1099.496591,1099.496571,1661327417.783361,40494.333,4482,3,PG,1,100,9065
1099.536168,1099.536148,1661327417.822938,40532.667,4482,3,PG,1,100,9062
1099.575745,1099.575725,1661327417.862515,40571.000,4482,3,PG,1,100,9056
1099.615322,1099.615302,1661327417.902092,40609.333,4499,3,PG,1,100,9052
1099.654899,1099.654878,1661327417.941669,40647.667,4499,3,PG,1,100,9048
1099.694475,1099.694455,1661327417.981246,40686.000,4499,3,PG,1,100,9035
1099.734741,1099.734721,1661327418.021511,40725.000,4516,2,PG,1,100,9033
1099.775006,1099.774986,1661327418.061776,40764.000,4516,2,PG,1,100,9051
1099.815615,1099.815595,1661327418.102386,40803.333,4533,3,PG,1,100,9038
1099.856224,1099.856204,1661327418.142995,40842.667,4533,3,PG,1,100,9036
1099.896834,1099.896814,1661327418.183604,40882.000,4533,3,PG,1,100,9032
1099.936755,1099.936735,1661327418.223525,40920.667,4557,3,PG,1,100,9036
1099.976676,1099.976656,1661327418.263446,40959.333,4557,3,PG,1,100,9047
1100.016597,1100.016577,1661327418.303367,40998.000,4557,3,PG,1,100,9046
1100.056518,1100.056498,1661327418.343288,41036.667,4575,3,PG,1,100,9040
1100.096439,1100.096419,1661327418.383209,41075.333,4575,3,PG,1,100,9053
1100.136360,1100.136340,1661327418.423130,41114.000,4575,3,PG,1,100,9063
1100.176281,1100.176261,1661327418.463051,41152.667,4593,3,PG,1,100,9066
1100.216202,1100.216182,1661327418.502972,41191.333,4593,3,PG,1,100,9073
1100.256123,1100.256103,1661327418.542893,41230.000,4593,3,PG,1,100,9084
1100.295356,1100.295336,1661327418.582126,41268.000,4609,2,PG,1,100,9093
1100.334588,1100.334568,1661327418.621359,41306.000,4609,2,PG,1,100,9096
1100.374853,1100.374833,1661327418.661624,41345.000,4627,3,PG,1,100,9100
1100.415119,1100.415099,1661327418.701889,41384.000,4627,3,PG,1,100,9109
1100.455384,1100.455364,1661327418.742154,41423.000,4627,3,PG,1,100,9114
1100.495133,1100.495113,1661327418.781903,41461.500,4644,2,PG,1,100,9122
1100.534882,1100.534862,1661327418.821652,41500.000,4644,2,PG,1,100,9128
1100.575147,1100.575127,1661327418.861917,41539.000,4660,3,PG,1,100,9134
1100.615412,1100.615392,1661327418.902183,41578.000,4660,3,PG,1,100,9133
1100.655677,1100.655657,1661327418.942448,41617.000,4660,3,PG,1,100,9139
1100.695598,1100.695578,1661327418.982369,41655.667,4677,3,PG,1,100,9142
1100.735519,1100.735499,1661327419.022290,41694.333,4677,3,PG,1,100,9141
1100.775440,1100.775420,1661327419.062211,41733.000,4677,3,PG,1,100,9129
1100.815189,1100.815169,1661327419.101960,41771.500,4692,2,PG,1,100,9131
1100.854938,1100.854918,1661327419.141709,41810.000,4692,2,PG,1,100,9134
1100.894171,1100.894151,1661327419.180942,41848.000,4711,3,PG,1,100,9145
1100.933404,1100.933384,1661327419.220174,41886.000,4711,3,PG,1,100,9143
1100.972636,1100.972616,1661327419.259407,41924.000,4711,3,PG,1,100,9142
1101.012901,1101.012881,1661327419.299672,41963.000,4727,2,PG,1,100,9147
1101.053167,1101.053147,1661327419.339937,42002.000,4727,2,PG,1,100,9152
1101.093088,1101.093068,1661327419.379858,42040.667,4749,3,PG,1,100,9157
1101.133009,1101.132989,1661327419.419779,42079.333,4749,3,PG,1,100,9169
1101.172930,1101.172910,1661327419.459700,42118.000,4749,3,PG,1,100,9178
1101.212851,1101.212831,1661327419.499621,42156.667,4765,3,PG,1,100,9180
1101.252772,1101.252752,1661327419.539542,42195.333,4765,3,PG,1,100,9189
1101.292693,1101.292673,1661327419.579463,42234.000,4765,3,PG,1,100,9197
1101.332442,1101.332422,1661327419.619212,42272.500,4780,2,PG,1,100,9201
1101.372191,1101.372171,1661327419.658961,42311.000,4780,2,PG,1,100,9210
1101.412112,1101.412092,1661327419.698882,42349.667,4797,3,PG,1,100,9214
1101.452033,1101.452013,1661327419.738803,42388.333,4797,3,PG,1,100,9227
1101.491954,1101.491934,1661327419.778724,42427.000,4797,3,PG,1,100,9226
1101.531186,1101.531166,1661327419.817957,42465.000,4817,3,PG,1,100,9241
1101.570419,1101.570399,1661327419.857190,42503.000,4817,3,PG,1,100,9255
1101.609652,1101.609632,1661327419.896423,42541.000,4817,3,PG,1,100,9264
1101.649917,1101.649897,1661327419.936688,42580.000,4833,2,PG,1,100,9262
1101.690182,1101.690162,1661327419.976953,42619.000,4833,2,PG,1,100,9269
1101.729759,1101.729739,1661327420.016530,42657.333,4850,3,PG,1,100,9271
1101.769336,1101.769316,1661327420.056107,42695.667,4850,3,PG,1,100,9277
1101.808913,1101.808893,1661327420.095684,42734.000,4850,3,PG,1,100,9271
1101.848662,1101.848642,1661327420.135432,42772.500,4867,2,PG,1,100,9268
1101.888411,1101.888391,1661327420.175181,42811.000,4867,2,PG,1,100,9274
1101.928332,1101.928312,1661327420.215102,42849.667,4884,3,PG,1,100,9276
1101.968253,1101.968233,1661327420.255023,42888.333,4884,3,PG,1,100,9278
1102.008174,1102.008154,1661327420.294945,42927.000,4884,3,PG,1,100,9282
1102.047751,1102.047731,1661327420.334522,42965.333,4901,3,PG,1,100,9287
1102.087327,1102.087307,1661327420.374098,43003.667,4901,3,PG,1,100,9287
1102.126904,1102.126884,1661327420.413675,43042.000,4901,3,PG,1,100,9289
1102.166653,1102.166633,1661327420.453424,43080.500,4920,2,PG,1,100,9287
1102.206402,1102.206382,1661327420.493173,43119.000,4920,2,PG,1,100,9298
1102.246323,1102.246303,1661327420.533094,43157.667,4934,3,PG,1,100,9302
1102.286244,1102.286224,1661327420.573015,43196.333,4934,3,PG,1,100,9303
1102.326165,1102.326145,1661327420.612936,43235.000,4934,3,PG,1,100,9312
1102.366086,1102.366066,1661327420.652857,43273.667,4954,3,PG,1,100,9317
1102.406007,1102.405987,1661327420.692778,43312.333,4954,3,PG,1,100,9319
1102.445928,1102.445908,1661327420.732699,43351.000,4954,3,PG,1,100,9329
1102.485677,1102.485657,1661327420.772448,43389.500,4970,2,PG,1,100,9338
1102.525426,1102.525406,1661327420.812197,43428.000,4970,2,PG,1,100,9346
1102.565691,1102.565671,1661327420.852462,43467.000,4987,3,PG,1,100,9338
1102.605957,1102.605937,1661327420.892727,43506.000,4987,3,PG,1,100,9349
1102.646222,1102.646202,1661327420.932993,43545.000,4987,3,PG,1,100,9363
1102.685971,1102.685951,1661327420.972742,43583.500,5003,2,PG,1,100,9363
1102.725720,1102.725700,1661327421.012491,43622.000,5003,2,PG,1,100,9359
1102.764608,1102.764588,1661327421.051379,43659.667,5019,3,PG,1,100,9356
1102.803497,1102.803477,1661327421.090268,43697.333,5019,3,PG,1,100,9355
1102.842385,1102.842365,1661327421.129156,43735.000,5019,3,PG,1,100,9350
1102.882306,1102.882286,1661327421.169077,43773.667,5035,3,PG,1,100,9362
1102.922227,1102.922207,1661327421.208998,43812.333,5035,3,PG,1,100,9365
1102.962148,1102.962128,1661327421.248919,43851.000,5035,3,PG,1,100,9364
1103.002414,1103.002394,1661327421.289185,43890.000,5057,2,PG,1,100,9360
1103.042679,1103.042659,1661327421.329450,43929.000,5057,2,PG,1,100,9364
1103.082600,1103.082580,1661327421.369371,43967.667,5076,3,PG,1,100,9362
1103.122521,1103.122501,1661327421.409292,44006.333,5076,3,PG,1,100,9363
1103.162442,1103.162422,1661327421.449213,44045.000,5076,3,PG,1,100,9367
1103.202019,1103.201999,1661327421.488790,44083.333,5093,3,PG,1,100,9366
1103.241595,1103.241575,1661327421.528367,44121.667,5093,3,PG,1,100,9371
1103.281172,1103.281152,1661327421.567943,44160.000,5093,3,PG,1,100,9374
1103.320921,1103.320901,1661327421.607692,44198.500,5107,2,PG,1,100,9375
1103.360670,1103.360650,1661327421.647441,44237.000,5107,2,PG,1,100,9392
1103.399559,1103.399539,1661327421.686330,44274.667,5127,3,PG,1,100,9393
1103.438447,1103.438427,1661327421.725219,44312.333,5127,3,PG,1,100,9400
1103.477336,1103.477316,1661327421.764107,44350.000,5127,3,PG,1,100,9399
1103.517601,1103.517581,1661327421.804372,44389.000,5143,2,PG,1,100,9406
1103.557866,1103.557846,1661327421.844637,44428.000,5143,2,PG,1,100,9416
1103.598476,1103.598456,1661327421.885247,44467.333,5161,3,PG,1,100,9419
1103.639085,1103.639065,1661327421.925856,44506.667,5161,3,PG,1,100,9419
1103.679694,1103.679674,1661327421.966465,44546.000,5161,3,PG,1,100,9427
1103.720304,1103.720284,1661327422.007075,44585.333,5176,3,PG,1,100,9430
1103.760913,1103.760893,1661327422.047684,44624.667,5176,3,PG,1,100,9430
1103.801522,1103.801502,1661327422.088293,44664.000,5176,3,PG,1,100,9428
1103.841271,1103.841251,1661327422.128042,44702.500,5193,2,PG,1,100,9422
1103.881020,1103.881000,1661327422.167791,44741.000,5193,2,PG,1,100,9423
1103.920597,1103.920577,1661327422.207368,44779.333,5209,3,PG,1,100,9421
1103.960174,1103.960154,1661327422.246945,44817.667,5209,3,PG,1,100,9417
1103.999751,1103.999731,1661327422.286522,44856.000,5209,3,PG,1,100,9417
1104.046727,1104.046707,1661327422.333498,44901.500,5229,2,PG,1,100,9418
1104.093703,1104.093683,1661327422.380474,44947.000,5229,2,PG,1,100,9411
1104.133280,1104.133260,1661327422.420051,44985.333,5247,3,PG,1,100,9422
1104.172856,1104.172836,1661327422.459628,45023.667,5247,3,PG,1,100,9421
1104.212433,1104.212413,1661327422.499205,45062.000,5247,3,PG,1,100,9419
1104.251666,1104.251646,1661327422.538437,45100.000,5262,2,PG,1,100,9422
1104.290899,1104.290879,1661327422.577670,45138.000,5262,2,PG,1,100,9425
1104.331852,1104.331832,1661327422.618623,45177.667,5278,3,PG,1,100,9426
1104.372806,1104.372786,1661327422.659577,45217.333,5278,3,PG,1,100,9429
1104.413759,1104.413739,1661327422.700531,45257.000,5278,3,PG,1,100,9428
1104.454024,1104.454004,1661327422.740796,45296.000,5296,2,PG,1,100,9427
1104.494289,1104.494270,1661327422.781061,45335.000,5296,2,PG,1,100,9436
1104.534210,1104.534191,1661327422.820982,45373.667,5315,3,PG,1,100,9436
1104.574132,1104.574112,1661327422.860903,45412.333,5315,3,PG,1,100,9450
1104.614053,1104.614033,1661327422.900824,45451.000,5315,3,PG,1,100,9457
1104.653974,1104.653954,1661327422.940745,45489.667,5333,3,PG,1,100,9458
1104.693895,1104.693875,1661327422.980666,45528.333,5333,3,PG,1,100,9456
1104.733816,1104.733796,1661327423.020587,45567.000,5333,3,PG,1,100,9464
1104.773565,1104.773545,1661327423.060336,45605.500,5351,2,PG,1,100,9471
1104.813313,1104.813294,1661327423.100085,45644.000,5351,2,PG,1,100,9461
1104.853234,1104.853215,1661327423.140006,45682.667,5368,3,PG,1,100,9457
1104.893155,1104.893136,1661327423.179927,45721.333,5368,3,PG,1,100,9447
1104.933077,1104.933057,1661327423.219848,45760.000,5368,3,PG,1,100,9447
1104.974374,1104.974354,1661327423.261146,45800.000,5384,2,PG,1,100,9450
1105.015672,1105.015652,1661327423.302443,45840.000,5384,2,PG,1,100,9448
1105.055593,1105.055573,1661327423.342364,45878.667,5402,3,PG,1,100,9446
1105.095514,1105.095494,1661327423.382285,45917.333,5402,3,PG,1,100,9450
1105.135435,1105.135415,1661327423.422206,45956.000,5402,3,PG,1,100,9443
1105.175356,1105.175336,1661327423.462127,45994.667,5418,3,PG,1,100,9438
1105.215277,1105.215257,1661327423.502048,46033.333,5418,3,PG,1,100,9442
1105.255198,1105.255178,1661327423.541969,46072.000,5418,3,PG,1,100,9438
1105.294947,1105.294927,1661327423.581718,46110.500,5440,2,PG,1,100,9440
1105.334696,1105.334676,1661327423.621467,46149.000,5440,2,PG,1,100,9446
1105.374273,1105.374253,1661327423.661044,46187.333,5459,3,PG,1,100,9451
1105.413849,1105.413830,1661327423.700621,46225.667,5459,3,PG,1,100,9445
1105.453426,1105.453406,1661327423.740198,46264.000,5459,3,PG,1,100,9447
1105.493691,1105.493672,1661327423.780463,46303.000,5476,3,PG,1,100,9463
1105.533957,1105.533937,1661327423.820728,46342.000,5476,3,PG,1,100,9467
1105.574222,1105.574202,1661327423.860993,46381.000,5476,3,PG,1,100,9466
1105.615003,1105.614983,1661327423.901775,46420.500,5491,2,PG,1,100,9464
1105.655785,1105.655765,1661327423.942556,46460.000,5491,2,PG,1,100,9475
1105.695706,1105.695686,1661327423.982477,46498.667,5508,3,PG,1,100,9481
1105.735627,1105.735607,1661327424.022398,46537.333,5508,3,PG,1,100,9490
1105.775548,1105.775528,1661327424.062319,46576.000,5508,3,PG,1,100,9481
1105.815297,1105.815277,1661327424.102068,46614.500,5524,2,PG,1,100,9486
1105.855046,1105.855026,1661327424.141817,46653.000,5524,2,PG,1,100,9477
1105.895311,1105.895291,1661327424.182082,46692.000,5541,3,PG,1,100,9473
1105.935576,1105.935556,1661327424.222347,46731.000,5541,3,PG,1,100,9468
1105.975841,1105.975821,1661327424.262613,46770.000,5541,3,PG,1,100,9473
1106.015418,1106.015398,1661327424.302190,46808.333,5557,3,PG,1,100,9472
1106.054995,1106.054975,1661327424.341766,46846.667,5557,3,PG,1,100,9471
1106.094572,1106.094552,1661327424.381343,46885.000,5557,3,PG,1,100,9468
1106.133288,1106.133268,1661327424.420060,46922.500,5580,2,PG,1,100,9463
1106.172005,1106.171985,1661327424.458776,46960.000,5580,2,PG,1,100,9469
1106.211926,1106.211906,1661327424.498697,46998.667,5596,3,PG,1,100,9460
1106.251847,1106.251827,1661327424.538618,47037.333,5596,3,PG,1,100,9462
1106.291768,1106.291748,1661327424.578539,47076.000,5596,3,PG,1,100,9468
1106.332033,1106.332013,1661327424.618804,47115.000,5613,2,PG,1,100,9464
1106.372298,1106.372278,1661327424.659070,47154.000,5613,2,PG,1,100,9470
