LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1151.655121,1151.655102,1661327469.941901,91014.000,13032,1,EL,1,100,-13867.000000
1151.720165,1151.720146,1661327470.006945,91077.000,13050,2,EL,1,100,-13877.400391
1151.785208,1151.785190,1661327470.071989,91140.000,13050,2,EL,1,100,-13879.200195
1151.850252,1151.850233,1661327470.137033,91203.000,13066,1,EL,1,100,-13880.200195
1151.918393,1151.918374,1661327470.205173,91269.000,13084,2,EL,1,100,-13882.400391
1151.986534,1151.986515,1661327470.273315,91335.000,13084,2,EL,1,100,-13879.799805
1152.053643,1152.053624,1661327470.340423,91400.000,13102,2,EL,1,100,-13874.200195
1152.120751,1152.120733,1661327470.407532,91465.000,13102,2,EL,1,100,-13881.000000
1152.187860,1152.187841,1661327470.474641,91530.000,13122,1,EL,1,100,-13883.200195
1152.253420,1152.253401,1661327470.540200,91593.500,13138,2,EL,1,100,-13882.599609
1152.318980,1152.318961,1661327470.605760,91657.000,13138,2,EL,1,100,-13884.200195
1152.385056,1152.385037,1661327470.671837,91721.000,13156,1,EL,1,100,-13878.799805
1152.451132,1152.451114,1661327470.737913,91785.000,13170,2,EL,1,100,-13874.400391
1152.517208,1152.517190,1661327470.803989,91849.000,13170,2,EL,1,100,-13882.599609
1152.586382,1152.586363,1661327470.873163,91916.000,13187,1,EL,1,100,-13892.200195
1152.653490,1152.653472,1661327470.940271,91981.000,13204,2,EL,1,100,-13891.799805
1152.720599,1152.720580,1661327471.007380,92046.000,13204,2,EL,1,100,-13895.599609
1152.786675,1152.786657,1661327471.073456,92110.000,13225,2,EL,1,100,-13893.000000
1152.852751,1152.852733,1661327471.139532,92174.000,13225,2,EL,1,100,-13894.400391
1152.917795,1152.917776,1661327471.204576,92237.000,13246,1,EL,1,100,-13898.000000
1152.985420,1152.985401,1661327471.272201,92302.500,13262,2,EL,1,100,-13898.799805
1153.053045,1153.053026,1661327471.339825,92368.000,13262,2,EL,1,100,-13901.599609
1153.121186,1153.121167,1661327471.407967,92434.000,13282,1,EL,1,100,-13899.000000
1153.187778,1153.187760,1661327471.474559,92498.500,13299,2,EL,1,100,-13900.400391
1153.254371,1153.254352,1661327471.541151,92563.000,13299,2,EL,1,100,-13902.400391
1153.320447,1153.320428,1661327471.607228,92627.000,13316,2,EL,1,100,-13905.799805
1153.386523,1153.386504,1661327471.673304,92691.000,13316,2,EL,1,100,-13904.000000
1153.453632,1153.453613,1661327471.740412,92756.000,13333,1,EL,1,100,-13902.599609
1153.519708,1153.519689,1661327471.806489,92820.000,13347,2,EL,1,100,-13900.599609
1153.585784,1153.585765,1661327471.872565,92884.000,13347,2,EL,1,100,-13905.400391
1153.653925,1153.653906,1661327471.940706,92950.000,13367,1,EL,1,100,-13912.000000
1153.719485,1153.719466,1661327472.006266,93013.500,13386,2,EL,1,100,-13913.599609
1153.785045,1153.785026,1661327472.071826,93077.000,13386,2,EL,1,100,-13910.599609
1153.851637,1153.851619,1661327472.138418,93141.500,13403,2,EL,1,100,-13911.599609
1153.918230,1153.918211,1661327472.205010,93206.000,13403,2,EL,1,100,-13915.799805
1153.983273,1153.983255,1661327472.270054,93269.000,13418,1,EL,1,100,-13919.599609
1154.050382,1154.050363,1661327472.337163,93334.000,13439,2,EL,1,100,-13918.200195
1154.117491,1154.117472,1661327472.404271,93399.000,13439,2,EL,1,100,-13920.200195
1154.183567,1154.183548,1661327472.470348,93463.000,13455,1,EL,1,100,-13922.400391
1154.250159,1154.250140,1661327472.536940,93527.500,13474,2,EL,1,100,-13922.599609
1154.316752,1154.316733,1661327472.603532,93592.000,13474,2,EL,1,100,-13920.400391
