LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1102.047751,1102.047731,1661327420.334522,42965.333,4900,3,PR,1,100,127463
1102.087327,1102.087307,1661327420.374098,43003.667,4900,3,PR,1,100,127481
1102.126904,1102.126884,1661327420.413675,43042.000,4900,3,PR,1,100,127489
1102.166653,1102.166633,1661327420.453424,43080.500,4919,2,PR,1,100,127483
1102.206402,1102.206382,1661327420.493173,43119.000,4919,2,PR,1,100,127487
1102.246323,1102.246303,1661327420.533094,43157.667,4933,3,PR,1,100,127500
1102.286244,1102.286224,1661327420.573015,43196.333,4933,3,PR,1,100,127522
1102.326165,1102.326145,1661327420.612936,43235.000,4933,3,PR,1,100,127549
1102.366086,1102.366066,1661327420.652857,43273.667,4953,3,PR,1,100,127584
1102.406007,1102.405987,1661327420.692778,43312.333,4953,3,PR,1,100,127597
1102.445928,1102.445908,1661327420.732699,43351.000,4953,3,PR,1,100,127604
1102.485677,1102.485657,1661327420.772448,43389.500,4969,2,PR,1,100,127611
1102.525426,1102.525406,1661327420.812197,43428.000,4969,2,PR,1,100,127623
1102.565691,1102.565671,1661327420.852462,43467.000,4986,3,PR,1,100,127631
1102.605957,1102.605937,1661327420.892727,43506.000,4986,3,PR,1,100,127638
1102.646222,1102.646202,1661327420.932993,43545.000,4986,3,PR,1,100,127634
1102.685971,1102.685951,1661327420.972742,43583.500,5002,2,PR,1,100,127622
1102.725720,1102.725700,1661327421.012491,43622.000,5002,2,PR,1,100,127612
1102.764608,1102.764588,1661327421.051379,43659.667,5018,3,PR,1,100,127621
1102.803497,1102.803477,1661327421.090268,43697.333,5018,3,PR,1,100,127628
1102.842385,1102.842365,1661327421.129156,43735.000,5018,3,PR,1,100,127642
1102.882306,1102.882286,1661327421.169077,43773.667,5034,3,PR,1,100,127653
1102.922227,1102.922207,1661327421.208998,43812.333,5034,3,PR,1,100,127649
1102.962148,1102.962128,1661327421.248919,43851.000,5034,3,PR,1,100,127658
1103.002414,1103.002394,1661327421.289185,43890.000,5056,2,PR,1,100,127667
1103.042679,1103.042659,1661327421.329450,43929.000,5056,2,PR,1,100,127673
1103.082600,1103.082580,1661327421.369371,43967.667,5075,3,PR,1,100,127668
1103.122521,1103.122501,1661327421.409292,44006.333,5075,3,PR,1,100,127671
1103.162442,1103.162422,1661327421.449213,44045.000,5075,3,PR,1,100,127688
1103.202019,1103.201999,1661327421.488790,44083.333,5092,3,PR,1,100,127692
1103.241595,1103.241575,1661327421.528367,44121.667,5092,3,PR,1,100,127679
1103.281172,1103.281152,1661327421.567943,44160.000,5092,3,PR,1,100,127692
1103.320921,1103.320901,1661327421.607692,44198.500,5106,2,PR,1,100,127701
1103.360670,1103.360650,1661327421.647441,44237.000,5106,2,PR,1,100,127695
1103.399559,1103.399539,1661327421.686330,44274.667,5126,3,PR,1,100,127695
1103.438447,1103.438427,1661327421.725219,44312.333,5126,3,PR,1,100,127709
1103.477336,1103.477316,1661327421.764107,44350.000,5126,3,PR,1,100,127716
1103.517601,1103.517581,1661327421.804372,44389.000,5142,2,PR,1,100,127713
1103.557866,1103.557846,1661327421.844637,44428.000,5142,2,PR,1,100,127735
1103.598476,1103.598456,1661327421.885247,44467.333,5160,3,PR,1,100,127751
1103.639085,1103.639065,1661327421.925856,44506.667,5160,3,PR,1,100,127753
1103.679694,1103.679674,1661327421.966465,44546.000,5160,3,PR,1,100,127761
1103.720304,1103.720284,1661327422.007075,44585.333,5175,3,PR,1,100,127756
1103.760913,1103.760893,1661327422.047684,44624.667,5175,3,PR,1,100,127763
1103.801522,1103.801502,1661327422.088293,44664.000,5175,3,PR,1,100,127763
1103.841271,1103.841251,1661327422.128042,44702.500,5192,2,PR,1,100,127758
1103.881020,1103.881000,1661327422.167791,44741.000,5192,2,PR,1,100,127783
1103.920597,1103.920577,1661327422.207368,44779.333,5208,3,PR,1,100,127784
1103.960174,1103.960154,1661327422.246945,44817.667,5208,3,PR,1,100,127789
1103.999751,1103.999731,1661327422.286522,44856.000,5208,3,PR,1,100,127787
1104.046727,1104.046707,1661327422.333498,44901.500,5228,2,PR,1,100,127784
1104.093703,1104.093683,1661327422.380474,44947.000,5228,2,PR,1,100,127791
1104.133280,1104.133260,1661327422.420051,44985.333,5246,3,PR,1,100,127792
1104.172856,1104.172836,1661327422.459628,45023.667,5246,3,PR,1,100,127794
1104.212433,1104.212413,1661327422.499205,45062.000,5246,3,PR,1,100,127815
1104.251666,1104.251646,1661327422.538437,45100.000,5261,2,PR,1,100,127813
1104.290899,1104.290879,1661327422.577670,45138.000,5261,2,PR,1,100,127807
1104.331852,1104.331832,1661327422.618623,45177.667,5277,3,PR,1,100,127809
1104.372806,1104.372786,1661327422.659577,45217.333,5277,3,PR,1,100,127839
1104.413759,1104.413739,1661327422.700531,45257.000,5277,3,PR,1,100,127854
1104.454024,1104.454004,1661327422.740796,45296.000,5295,2,PR,1,100,127855
1104.494289,1104.494270,1661327422.781061,45335.000,5295,2,PR,1,100,127851
1104.534210,1104.534191,1661327422.820982,45373.667,5314,3,PR,1,100,127860
1104.574132,1104.574112,1661327422.860903,45412.333,5314,3,PR,1,100,127866
1104.614053,1104.614033,1661327422.900824,45451.000,5314,3,PR,1,100,127861
1104.653974,1104.653954,1661327422.940745,45489.667,5332,3,PR,1,100,127871
1104.693895,1104.693875,1661327422.980666,45528.333,5332,3,PR,1,100,127869
1104.733816,1104.733796,1661327423.020587,45567.000,5332,3,PR,1,100,127867
1104.773565,1104.773545,1661327423.060336,45605.500,5350,2,PR,1,100,127868
1104.813313,1104.813294,1661327423.100085,45644.000,5350,2,PR,1,100,127858
1104.853234,1104.853215,1661327423.140006,45682.667,5367,3,PR,1,100,127856
1104.893155,1104.893136,1661327423.179927,45721.333,5367,3,PR,1,100,127856
1104.933077,1104.933057,1661327423.219848,45760.000,5367,3,PR,1,100,127862
1104.974374,1104.974354,1661327423.261146,45800.000,5383,2,PR,1,100,127859
1105.015672,1105.015652,1661327423.302443,45840.000,5383,2,PR,1,100,127860
1105.055593,1105.055573,1661327423.342364,45878.667,5401,3,PR,1,100,127848
1105.095514,1105.095494,1661327423.382285,45917.333,5401,3,PR,1,100,127855
1105.135435,1105.135415,1661327423.422206,45956.000,5401,3,PR,1,100,127850
1105.175356,1105.175336,1661327423.462127,45994.667,5417,3,PR,1,100,127845
1105.215277,1105.215257,1661327423.502048,46033.333,5417,3,PR,1,100,127840
1105.255198,1105.255178,1661327423.541969,46072.000,5417,3,PR,1,100,127836
1105.294947,1105.294927,1661327423.581718,46110.500,5439,2,PR,1,100,127850
1105.334696,1105.334676,1661327423.621467,46149.000,5439,2,PR,1,100,127845
