LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1150.451296,1150.451277,1661327468.738076,89848,12855,1,SR,1,100,0.066667
1150.649524,1150.649506,1661327468.936305,90040,12891,1,SR,1,100,0.133333
1151.184328,1151.184309,1661327469.471108,90558,12996,1,SR,1,100,0.200000
1151.655121,1151.655102,1661327469.941901,91014,13079,1,SR,1,100,0.266667
1152.449067,1152.449049,1661327470.735848,91783,13220,1,SR,1,100,0.266667
1152.852751,1152.852733,1661327471.139532,92174,13277,1,SR,1,100,0.200000
1153.585784,1153.585765,1661327471.872565,92884,13381,1,SR,1,100,0.133333
1153.850089,1153.850070,1661327472.136869,93140,13433,1,SR,1,100,0.133333
1154.117491,1154.117472,1661327472.404271,93399,13469,1,SR,1,100,0.066667
1154.580024,1154.580005,1661327472.866805,93847,13555,1,SR,1,100,0.133333
1155.176774,1155.176755,1661327473.463555,94425,13676,1,SR,1,100,0.333333
1155.774557,1155.774538,1661327474.061338,95004,13761,1,SR,1,100,0.200000
1156.239155,1156.239136,1661327474.525936,95454,13832,1,SR,1,100,0.133333
1156.643871,1156.643853,1661327474.930653,95846,13889,1,SR,1,100,0.066667
1157.107437,1157.107419,1661327475.394218,96295,14023,1,SR,1,100,0.533333
1157.775426,1157.775407,1661327476.062207,96942,14093,1,SR,1,100,0.266667
1158.178077,1158.178059,1661327476.464859,97332,14170,1,SR,1,100,0.266667
1158.710817,1158.710798,1661327476.997598,97848,14252,1,SR,1,100,0.266667
1159.241491,1159.241472,1661327477.528273,98362,14306,1,SR,1,100,0.066667
1159.438687,1159.438668,1661327477.725469,98553,14358,1,SR,1,100,0.133333
1159.835144,1159.835125,1661327478.121926,98937,14414,1,SR,1,100,0.066667
1160.301807,1160.301788,1661327478.588589,99389,14500,1,SR,1,100,0.133333
1161.767872,1161.767853,1661327480.054654,100809,14755,1,SR,1,100,0.200000
1162.635121,1162.635103,1661327480.921904,101649,14893,1,SR,1,100,0.200000
1162.966535,1162.966516,1661327481.253317,101970,14984,1,SR,1,100,0.400000
1164.297350,1164.297332,1661327482.584133,103259,15157,1,SR,1,100,0.200000
1164.761948,1164.761930,1661327483.048731,103709,15224,1,SR,1,100,0.066667
1164.961209,1164.961191,1661327483.247992,103902,15264,1,SR,1,100,0.133333
1165.358698,1165.358680,1661327483.645481,104287,15315,1,SR,1,100,0.066667
1165.556927,1165.556909,1661327483.843710,104479,15349,1,SR,1,100,0.066667
1165.754123,1165.754105,1661327484.040906,104670,15384,1,SR,1,100,0.066667
1166.021525,1166.021507,1661327484.308308,104929,15440,1,SR,1,100,0.133333
1166.284797,1166.284779,1661327484.571580,105184,15492,1,SR,1,100,0.200000
1166.883612,1166.883594,1661327485.170396,105764,15594,1,SR,1,100,0.200000
1167.219155,1167.219137,1661327485.505939,106089,15664,1,SR,1,100,0.266667
1167.618710,1167.618691,1661327485.905493,106476,15699,1,SR,1,100,0.066667
1167.950123,1167.950105,1661327486.236907,106797,15769,1,SR,1,100,0.200000
1168.418851,1168.418833,1661327486.705635,107251,15836,1,SR,1,100,0.133333
1169.017666,1169.017648,1661327487.304450,107831,15945,1,SR,1,100,0.266667
1169.414123,1169.414105,1661327487.700907,108215,15981,1,SR,1,100,0.066667
1169.615449,1169.615431,1661327487.902233,108410,16015,1,SR,1,100,0.066667
1170.144058,1170.144040,1661327488.430842,108922,16100,1,SR,1,100,0.066667
1170.475472,1170.475453,1661327488.762256,109243,16170,1,SR,1,100,0.133333
1170.740809,1170.740790,1661327489.027593,109500,16206,1,SR,1,100,0.066667
1170.940070,1170.940051,1661327489.226854,109693,16259,1,SR,1,100,0.266667
1171.338591,1171.338573,1661327489.625376,110079,16295,1,SR,1,100,0.066667
1171.668972,1171.668954,1661327489.955757,110399,16380,1,SR,1,100,0.200000
1172.135635,1172.135617,1661327490.422420,110851,16470,1,SR,1,100,0.266667
1172.665277,1172.665259,1661327490.952061,111364,16537,1,SR,1,100,0.133333
1172.936809,1172.936791,1661327491.223593,111627,16574,1,SR,1,100,0.066667
1173.402439,1173.402421,1661327491.689224,112078,16661,1,SR,1,100,0.133333
1173.669841,1173.669823,1661327491.956626,112337,16714,1,SR,1,100,0.200000
1174.669243,1174.669225,1661327492.956028,113305,16872,1,SR,1,100,0.200000
1175.132809,1175.132791,1661327493.419594,113754,16978,1,SR,1,100,0.333333
1175.595342,1175.595324,1661327493.882127,114202,17012,1,SR,1,100,0.066667
1175.795635,1175.795617,1661327494.082420,114396,17047,1,SR,1,100,0.133333
1176.327342,1176.327324,1661327494.614127,114911,17134,1,SR,1,100,0.133333
1176.856984,1176.856966,1661327495.143769,115424,17206,1,SR,1,100,0.066667
1177.387658,1177.387640,1661327495.674443,115938,17327,1,SR,1,100,0.200000
1177.986473,1177.986455,1661327496.273259,116518,17419,1,SR,1,100,0.133333
1178.654462,1178.654444,1661327496.941248,117165,17554,1,SR,1,100,0.333333
1179.253277,1179.253259,1661327497.540063,117745,17613,1,SR,1,100,0.133333
1179.652832,1179.652814,1661327497.939617,118132,17722,1,SR,1,100,0.466667
1180.255777,1180.255759,1661327498.542562,118716,17741,1,SR,1,100,0.066667
1180.585125,1180.585107,1661327498.871911,119035,17811,1,SR,1,100,0.266667
1181.250016,1181.249999,1661327499.536803,119679,17934,1,SR,1,100,0.333333
1181.846767,1181.846749,1661327500.133553,120257,18004,1,SR,1,100,0.133333
1182.241159,1182.241141,1661327500.527945,120639,18071,1,SR,1,100,0.133333
1182.909148,1182.909130,1661327501.195934,121286,18177,1,SR,1,100,0.133333
1183.176550,1183.176532,1661327501.463336,121545,18229,1,SR,1,100,0.133333
1183.578169,1183.578151,1661327501.864955,121934,18280,1,SR,1,100,0.133333
1183.845571,1183.845553,1661327502.132357,122193,18315,1,SR,1,100,0.066667
1184.310169,1184.310151,1661327502.596956,122643,18426,1,SR,1,100,0.200000
1184.775799,1184.775782,1661327503.062586,123094,18496,1,SR,1,100,0.200000
1185.111342,1185.111325,1661327503.398129,123419,18563,1,SR,1,100,0.266667
1185.507799,1185.507782,1661327503.794586,123803,18598,1,SR,1,100,0.066667
1187.034778,1187.034761,1661327505.321566,125282,18853,1,SR,1,100,0.066667
1187.231974,1187.231957,1661327505.518762,125473,18892,1,SR,1,100,0.133333
1187.630496,1187.630479,1661327505.917284,125859,18959,1,SR,1,100,0.133333
