LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1139.030443,1139.030424,1661327457.317221,78786.000,11019,1,B%,1,100,69
1140.031910,1140.031891,1661327458.318688,79756.000,11180,1,B%,1,100,69
1141.032345,1141.032326,1661327459.319123,80725.000,11352,1,B%,1,100,69
1142.032779,1142.032760,1661327460.319558,81694.000,11514,1,B%,1,100,69
1143.031149,1143.031130,1661327461.317927,82661.000,11673,1,B%,1,100,70
1144.028486,1144.028467,1661327462.315265,83627.000,11821,1,B%,1,100,70
1145.025823,1145.025804,1661327463.312602,84593.000,11948,1,B%,1,100,69
1146.023160,1146.023141,1661327464.309939,85559.000,12101,1,B%,1,100,70
1147.026692,1147.026673,1661327465.313472,86531.000,12272,1,B%,1,100,70
1148.027126,1148.027108,1661327466.313906,87500.000,12437,1,B%,1,100,69
1149.022399,1149.022380,1661327467.309179,88464.000,12613,1,B%,1,100,69
1150.016638,1150.016620,1661327468.303419,89427.000,12763,1,B%,1,100,68
1151.019138,1151.019119,1661327469.305918,90398.000,12943,1,B%,1,100,69
1152.020605,1152.020586,1661327470.307385,91368.000,13096,1,B%,1,100,70
1153.017942,1153.017923,1661327471.304723,92334.000,13275,1,B%,1,100,69
1154.017344,1154.017325,1661327472.304125,93302.000,13430,1,B%,1,100,69
1155.010551,1155.010533,1661327473.297332,94264.000,13605,1,B%,1,100,69
1156.009953,1156.009935,1661327474.296735,95232.000,13780,1,B%,1,100,69
1157.007290,1157.007272,1661327475.294072,96198.000,13939,1,B%,1,100,70
1158.010822,1158.010804,1661327476.297604,97170.000,14089,1,B%,1,100,69
1159.008159,1159.008141,1661327477.294941,98136.000,14270,1,B%,1,100,69
1160.003432,1160.003413,1661327478.290214,99100.000,14433,1,B%,1,100,68
1160.996639,1160.996620,1661327479.283421,100062.000,14599,1,B%,1,100,69
1162.001203,1162.001185,1661327480.287986,101035.000,14752,1,B%,1,100,69
1162.999573,1162.999554,1661327481.286355,102002.000,14926,1,B%,1,100,69
1163.998975,1163.998956,1661327482.285758,102970.000,15085,1,B%,1,100,68
1164.992182,1164.992164,1661327483.278965,103932.000,15242,1,B%,1,100,68
1165.988487,1165.988469,1661327484.275270,104897.000,15422,1,B%,1,100,68
1166.985824,1166.985806,1661327485.272607,105863.000,15574,1,B%,1,100,68
1167.983161,1167.983143,1661327486.269945,106829.000,15750,1,B%,1,100,68
1168.985660,1168.985642,1661327487.272444,107800.000,15911,1,B%,1,100,69
1169.978868,1169.978850,1661327488.265652,108762.000,16067,1,B%,1,100,68
1170.972075,1170.972057,1661327489.258859,109724.000,16224,1,B%,1,100,68
1171.967348,1171.967329,1661327490.254132,110688.000,16399,1,B%,1,100,68
1172.968814,1172.968796,1661327491.255599,111658.000,16571,1,B%,1,100,68
1173.968216,1173.968198,1661327492.255001,112626.000,16731,1,B%,1,100,68
1174.966586,1174.966568,1661327493.253371,113593.000,16906,1,B%,1,100,69
1175.961858,1175.961840,1661327494.248643,114557.000,17066,1,B%,1,100,69
1176.957131,1176.957112,1661327495.243916,115521.000,17225,1,B%,1,100,69
1177.952403,1177.952385,1661327496.239188,116485.000,17377,1,B%,1,100,68
1178.952837,1178.952819,1661327497.239623,117454.000,17551,1,B%,1,100,68
1179.955337,1179.955319,1661327498.242122,118425.000,17717,1,B%,1,100,69
1180.950609,1180.950591,1661327499.237395,119389.000,17829,1,B%,1,100,67
1181.945881,1181.945863,1661327500.232667,120353.000,18001,1,B%,1,100,68
1182.941153,1182.941135,1661327501.227940,121317.000,18157,1,B%,1,100,68
1183.945718,1183.945700,1661327502.232504,122290.000,18334,1,B%,1,100,69
1184.942022,1184.942004,1661327503.228809,123255.000,18492,1,B%,1,100,68
1185.939359,1185.939342,1661327504.226146,124221.000,18668,1,B%,1,100,69
1186.933599,1186.933581,1661327505.220387,125184.000,18817,1,B%,1,100,69
1187.930936,1187.930919,1661327506.217724,126150.000,18995,1,B%,1,100,68
1188.927241,1188.927223,1661327507.214029,127115.000,19148,1,B%,1,100,68
1189.929740,1189.929723,1661327508.216528,128086.000,19328,1,B%,1,100,68
1190.929142,1190.929125,1661327509.215930,129054.000,19501,1,B%,1,100,69
1191.925447,1191.925429,1661327510.212235,130019.000,19655,1,B%,1,100,69
1192.918655,1192.918637,1661327511.205443,130981.000,19832,1,B%,1,100,69
1193.922186,1193.922169,1661327512.208975,131953.000,19991,1,B%,1,100,68
1194.923653,1194.923636,1661327513.210442,132923.000,20164,1,B%,1,100,68
1195.923055,1195.923038,1661327514.209844,133891.000,20344,1,B%,1,100,68
1196.921425,1196.921407,1661327515.208214,134858.000,20503,1,B%,1,100,68
1197.918762,1197.918744,1661327516.205551,135824.000,20673,1,B%,1,100,68
1198.917132,1198.917114,1661327517.203921,136791.000,20827,1,B%,1,100,68
1199.914469,1199.914451,1661327518.201258,137757.000,20985,1,B%,1,100,68
1200.915936,1200.915918,1661327519.202725,138727.000,21164,1,B%,1,100,68
1201.917402,1201.917385,1661327520.204192,139697.000,21326,1,B%,1,100,68
1202.915772,1202.915755,1661327521.202562,140664.000,21494,1,B%,1,100,68
1203.915174,1203.915157,1661327522.201964,141632.000,21646,1,B%,1,100,68
1204.917673,1204.917656,1661327523.204464,142603.000,21799,1,B%,1,100,68
1205.919140,1205.919123,1661327524.205931,143573.000,21961,1,B%,1,100,68
