LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1099.869990,1099.869970,1661327418.156761,40856.000,4541,3,GX,1,100,1.190
1099.910255,1099.910235,1661327418.197026,40895.000,4541,3,GX,1,100,1.343
1099.950176,1099.950156,1661327418.236947,40933.667,4565,3,GX,1,100,1.221
1099.990097,1099.990077,1661327418.276868,40972.333,4565,3,GX,1,100,0.885
1100.030018,1100.029998,1661327418.316789,41011.000,4565,3,GX,1,100,0.732
1100.069939,1100.069919,1661327418.356710,41049.667,4583,3,GX,1,100,0.702
1100.109860,1100.109840,1661327418.396631,41088.333,4583,3,GX,1,100,0.732
1100.149782,1100.149761,1661327418.436552,41127.000,4583,3,GX,1,100,1.923
1100.190047,1100.190027,1661327418.476817,41166.000,4600,2,GX,1,100,1.770
1100.230312,1100.230292,1661327418.517082,41205.000,4600,2,GX,1,100,2.899
1100.269889,1100.269869,1661327418.556659,41243.333,4616,3,GX,1,100,4.333
1100.309466,1100.309446,1661327418.596236,41281.667,4616,3,GX,1,100,8.301
1100.349042,1100.349022,1661327418.635813,41320.000,4616,3,GX,1,100,9.338
1100.384490,1100.384469,1661327418.671260,41354.333,4635,3,GX,1,100,15.656
1100.419937,1100.419917,1661327418.706707,41388.667,4635,3,GX,1,100,21.149
1100.455384,1100.455364,1661327418.742154,41423.000,4635,3,GX,1,100,19.012
1100.495305,1100.495285,1661327418.782075,41461.667,4652,3,GX,1,100,14.557
1100.535226,1100.535206,1661327418.821996,41500.333,4652,3,GX,1,100,6.622
1100.575147,1100.575127,1661327418.861917,41539.000,4652,3,GX,1,100,-4.944
1100.615412,1100.615392,1661327418.902183,41578.000,4668,2,GX,1,100,-21.210
1100.655677,1100.655657,1661327418.942448,41617.000,4668,2,GX,1,100,-17.181
1100.695598,1100.695578,1661327418.982369,41655.667,4683,3,GX,1,100,-8.850
1100.735519,1100.735499,1661327419.022290,41694.333,4683,3,GX,1,100,-10.468
1100.775440,1100.775420,1661327419.062211,41733.000,4683,3,GX,1,100,-11.261
1100.815189,1100.815169,1661327419.101960,41771.500,4700,2,GX,1,100,-8.240
1100.854938,1100.854918,1661327419.141709,41810.000,4700,2,GX,1,100,-3.204
1100.894171,1100.894151,1661327419.180942,41848.000,4719,3,GX,1,100,0.519
1100.933404,1100.933384,1661327419.220174,41886.000,4719,3,GX,1,100,-0.305
1100.972636,1100.972616,1661327419.259407,41924.000,4719,3,GX,1,100,-3.387
1101.012557,1101.012537,1661327419.299328,41962.667,4735,3,GX,1,100,-4.913
1101.052478,1101.052458,1661327419.339249,42001.333,4735,3,GX,1,100,-5.035
1101.092399,1101.092379,1661327419.379170,42040.000,4735,3,GX,1,100,-3.693
1101.132664,1101.132644,1661327419.419435,42079.000,4757,2,GX,1,100,-4.761
1101.172930,1101.172910,1661327419.459700,42118.000,4757,2,GX,1,100,-3.418
1101.212851,1101.212831,1661327419.499621,42156.667,4771,3,GX,1,100,-2.136
1101.252772,1101.252752,1661327419.539542,42195.333,4771,3,GX,1,100,-1.892
1101.292693,1101.292673,1661327419.579463,42234.000,4771,3,GX,1,100,-2.899
1101.332442,1101.332422,1661327419.619212,42272.500,4788,2,GX,1,100,-1.862
